Company,Location,Position,Link,Resume Path
Orbion Infotech,India,Machine Learning Engineer( 5 yrs),https://in.linkedin.com/jobs/view/machine-learning-engineer-5-yrs-at-orbion-infotech-4271578510?position=11&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=p2EyuQ0caeKTeJ%2BaKUFu7w%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\machine-learning-engineer-5-yrs-at-orbion-infotech-4271578510.pdf
Emeritus,India,"Learning Support Specialist - ML&AI, Data Science and Data Engineering",https://in.linkedin.com/jobs/view/learning-support-specialist-ml-ai-data-science-and-data-engineering-at-emeritus-4259404928?position=12&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=dUQmRY%2B1oHX1wo2EwOh%2FiQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\learning-support-specialist-ml-ai-data-science-and-data-engineering-at-emeritus-4259404928.pdf
NxtWave,India,Data Science & Machine Learning Trainer,https://in.linkedin.com/jobs/view/data-science-machine-learning-trainer-at-nxtwave-4269444170?position=13&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=pp5TneFY%2BPkutRv3WLuZ9g%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-science-machine-learning-trainer-at-nxtwave-4269444170.pdf
greytHR,India,Python Developer - SDE-2,https://in.linkedin.com/jobs/view/python-developer-sde-2-at-greythr-4264074519?position=14&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=RHc241gSclWahGjK0Qyk4w%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\python-developer-sde-2-at-greythr-4264074519.pdf
Ascendeum,India,Associate Data Scientist,https://in.linkedin.com/jobs/view/associate-data-scientist-at-ascendeum-4265405159?position=15&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=IdXwkqFkevp24oy9az5brw%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\associate-data-scientist-at-ascendeum-4265405159.pdf
goML,India,Machine Learning Engineer,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-goml-4271473779?position=16&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=EqK%2BUeeD0KHsbt1dwDjKfA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\machine-learning-engineer-at-goml-4271473779.pdf
"Elegant Enterprise-Wide Solutions, Inc.",India,AI Developer,https://in.linkedin.com/jobs/view/ai-developer-at-elegant-enterprise-wide-solutions-inc-4263507628?position=17&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=wvnwUYSBc1KftjosbEoWNA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\ai-developer-at-elegant-enterprise-wide-solutions-inc-4263507628.pdf
Hyqoo,India,Artificial Intelligence Engineer,https://in.linkedin.com/jobs/view/artificial-intelligence-engineer-at-hyqoo-4264456976?position=18&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=XxkN%2BWAoWNsKxZ55PCF9Sw%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\artificial-intelligence-engineer-at-hyqoo-4264456976.pdf
Altraize,India,"Python Developer, Remote",https://in.linkedin.com/jobs/view/python-developer-remote-at-altraize-4177412286?position=19&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=GmYRKdP51fTQSwuDr6Ns1Q%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\python-developer-remote-at-altraize-4177412286.pdf
Bounteous,India,GraphDB+Python Developer,https://in.linkedin.com/jobs/view/graphdb%2Bpython-developer-at-bounteous-4260864622?position=20&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=DqZvkoXSz8QJDMbPhZhCOA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\graphdb%2Bpython-developer-at-bounteous-4260864622.pdf
